Application,Application Version,Category,Primary Location,Line Number,Full Filename,Criticality,Filterset,Folder,Is Reviewed,Tagged,Primary Tag Auto Applied,Bug URL,Has Correlated Issues,Has Comments,Scan Status,Found Date,Removed Date,Is Removed,Is Suppressed,Is Hidden,Analysis Type,Analysis Category,Analyzer,Primary Rule ID,Instance ID,Impact,Likelihood,Severity,Confidence,Kingdom,Fortify Category,CWE,DISA CCI 2,FISMA,GDPR,MISRA C 2012,MISRA C++ 2008,NIST SP 800-53 Rev.4,OWASP Mobile 2014,OWASP Top 10 2004,OWASP Top 10 2007,OWASP Top 10 2010,OWASP Top 10 2013,OWASP Top 10 2017,PCI 1.1,PCI 1.2,PCI 2.0,PCI 3.0,PCI 3.1,PCI 3.2,PCI 3.2.1,PCI SSF 1.0,SANS Top 25 2009,SANS Top 25 2010,SANS Top 25 2011,STIG 3.1,STIG 3.10,STIG 3.4,STIG 3.5,STIG 3.6,STIG 3.7,STIG 3.9,STIG 4.1,STIG 4.2,STIG 4.3,STIG 4.4,STIG 4.5,STIG 4.6,STIG 4.7,STIG 4.8,STIG 4.9,WASC 2.00,WASC 24 + 2
wiecreated,v1,Web Server Misconfiguration: Server Error Message,<script>alert('TRACK'),0,/<script>alert('TRACK'),Low,Security Auditor View,Low,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,b260f0fe-dd16-52b8-edb5-7da404adab14,1.0,1.0,1.0,5.0,Environment,Web Server Misconfiguration: Server Error Message,CWE ID 391,"CCI-001312,CCI-001314,CCI-003272",CM,Indirect Access to Sensitive Data,,,SI-11 Error Handling (P2),M1 Weak Server Side Controls,A7 Improper Error Handling,A6 Information Leakage and Improper Error Handling,A6 Security Misconfiguration,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.7,"Requirement 6.3.1.2,Requirement 6.5.6",Requirement 6.5.5,Requirement 6.5.5,Requirement 6.5.5,Requirement 6.5.5,Requirement 6.5.5,Control Objective 3.6 - Sensitive Data Retention,,Insecure Interaction - CWE ID 209,,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,APP3120 CAT II,"APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II","APSC-DV-002570 CAT II,APSC-DV-002580 CAT II,APSC-DV-003235 CAT II",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Privacy Violation: HTTP GET,accept-certs.html,0,/auth/accept-certs.html,Medium,Security Auditor View,Medium,false,,,,false,false,UPDATED,Fri Dec 13 16:16:18 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,a41e498f-f264-4662-c536-70daf1ae5302,2.0,3.0,2.0,5.0,Security Features,Privacy Violation: HTTP GET,CWE ID 359,"CCI-000196,CCI-000197,CCI-002361",,Privacy Violation,,,AC-4 Information Flow Enforcement (P1),M2 Insecure Data Storage,,A6 Information Leakage and Improper Error Handling,,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,"Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.6,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.5,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Control Objective 3.3 - Sensitive Data Retention,Control Objective 6.1 - Sensitive Data Protection,Control Objective 7 - Use of Cryptography",,,,"APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Privacy Violation: HTTP GET,accept-certs.html,0,/auth/accept-certs.html,Low,Security Auditor View,Low,false,,,,false,false,UPDATED,Fri Dec 13 16:16:18 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Best Practices,780b87dd-9b7d-5ef2-f598-978d47f9ead8,0.5,0.5,0.0,5.0,Security Features,Privacy Violation: HTTP GET,CWE ID 359,"CCI-000196,CCI-000197,CCI-002361",,Privacy Violation,,,AC-4 Information Flow Enforcement (P1),M2 Insecure Data Storage,,A6 Information Leakage and Improper Error Handling,,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,"Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.6,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.5,Requirement 8.4","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 6.5.3,Requirement 8.2.1","Control Objective 3.3 - Sensitive Data Retention,Control Objective 6.1 - Sensitive Data Protection,Control Objective 7 - Use of Cryptography",,,,"APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APP3210.1 CAT II,APP3340 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I,APSC-DV-001750 CAT I",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Privacy Violation: Credit Card Number,account-summary.html,0,/bank/account-summary.html,Critical,Security Auditor View,Critical,true,Exploitable,false,,false,true,UPDATED,Fri Dec 13 16:16:18 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,3c892771-f350-8b23-42ee-7015463681a8,5.0,5.0,4.0,5.0,Security Features,Privacy Violation: Credit Card Number,CWE ID 359,"CCI-000169,CCI-001199,CCI-001312,CCI-001314,CCI-002475",MP,Privacy Violation,,,"AC-4 Information Flow Enforcement (P1),SC-28 Protection of Information at Rest (P1)",M1 Weak Server Side Controls,,A6 Information Leakage and Improper Error Handling,A7 Insecure Cryptographic Storage,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,"Requirement 3.2,Requirement 3.4,Requirement 4.2,Requirement 8.4","Requirement 3.4,Requirement 6.3.1.3,Requirement 6.5.6,Requirement 6.5.8,Requirement 8.4","Requirement 3.4,Requirement 6.5.3,Requirement 8.4","Requirement 3.4,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.4,Requirement 6.5.3,Requirement 8.2.1","Requirement 3.4,Requirement 6.5.3","Requirement 3.4,Requirement 6.5.3","Control Objective 6 - Sensitive Data Protection,Control Objective 7 - Use of Cryptography,Control Objective A.2.2 - Cardholder Data Protection,Control Objective A.2.3 - Cardholder Data Protection",,Porous Defenses - CWE ID 311,Porous Defenses - CWE ID 311,APP3620 CAT II,APP3620 CAT II,APP3620 CAT II,APP3620 CAT II,APP3620 CAT II,APP3620 CAT II,APP3620 CAT II,"APSC-DV-000650 CAT II,APSC-DV-002330 CAT II,APSC-DV-002340 CAT II,APSC-DV-002570 CAT II,APSC-DV-002580 CAT II","APSC-DV-000650 CAT II,APSC-DV-002330 CAT II,APSC-DV-002340 CAT II,APSC-DV-002570 CAT II,APSC-DV-002580 CAT II","APSC-DV-000650 CAT II,APSC-DV-002330 CAT II,APSC-DV-002340 CAT II,APSC-DV-002570 CAT II,APSC-DV-002580 CAT II","APSC-DV-000650 CAT II,APSC-DV-002330 CAT II,APSC-DV-002340 CAT II,APSC-DV-002570 CAT II,APSC-DV-002580 CAT II","APSC-DV-000650 CAT II,APSC-DV-002330 CAT II,APSC-DV-002340 CAT II,APSC-DV-002570 CAT II,APSC-DV-002580 CAT II","APSC-DV-000650 CAT II,APSC-DV-002330 CAT II,APSC-DV-002340 CAT II,APSC-DV-002570 CAT II,APSC-DV-002580 CAT II","APSC-DV-000650 CAT II,APSC-DV-002330 CAT II,APSC-DV-002340 CAT II,APSC-DV-002570 CAT II,APSC-DV-002580 CAT II","APSC-DV-000650 CAT II,APSC-DV-002330 CAT II,APSC-DV-002340 CAT II,APSC-DV-002570 CAT II,APSC-DV-002580 CAT II","APSC-DV-000650 CAT II,APSC-DV-002330 CAT II,APSC-DV-002340 CAT II,APSC-DV-002570 CAT II,APSC-DV-002580 CAT II",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Privacy Violation: Autocomplete,account-summary.html,0,/bank/account-summary.html,Low,Security Auditor View,Low,false,,,,false,false,UPDATED,Fri Dec 13 16:16:18 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Best Practices,a5394163-fe7a-8824-f30c-b9bc1fa084b9,0.5,0.5,0.0,5.0,Security Features,Privacy Violation: Autocomplete,CWE ID 525,"CCI-000196,CCI-002361",,Privacy Violation,,,AC-4 Information Flow Enforcement (P1),M4 Unintended Data Leakage,,A6 Information Leakage and Improper Error Handling,,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,"Control Objective 3.3 - Sensitive Data Retention,Control Objective 6.1 - Sensitive Data Protection",,,,"APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,HTML5: Overly Permissive CORS Policy,account-summary.html,0,/bank/account-summary.html,Low,Security Auditor View,Low,false,,,,false,false,NEW,Fri Dec 13 18:28:21 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,b9307429-56cc-e4c6-770d-5e60225b6009,1.0,1.0,1.0,5.0,Encapsulation,HTML5: Overly Permissive CORS Policy,,"CCI-001368,CCI-001414",,Access Violation,,,AC-4 Information Flow Enforcement (P1),M5 Poor Authorization and Authentication,,,,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.10,,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Control Objective 5.4 - Authentication and Access Control,,,,,,,,,,,"APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II",Application Misconfiguration (WASC-15),
wiecreated,v1,Web Server Misconfiguration: Unprotected File,debug.txt,0,/debug.txt,High,Security Auditor View,High,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,7579e279-8540-74be-c3dc-06b0412b529a,3.0,2.0,3.0,5.0,Environment,Web Server Misconfiguration: Unprotected File,CWE ID 863,"CCI-000213,CCI-002165",AC,Access Violation,,,AC-3 Access Enforcement (P1),M5 Poor Authorization and Authentication,A2 Broken Access Control,A10 Failure to Restrict URL Access,A8 Failure to Restrict URL Access,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.2,Requirement 6.5.10,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Control Objective 5.4 - Authentication and Access Control,,Porous Defenses - CWE ID 285,Porous Defenses - CWE ID 863,,,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,,"APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II",Server Misconfiguration (WASC-14),Insufficient Authorization
wiecreated,v1,Cross-Site Scripting: Reflected,faq.html,0,/faq.html,Critical,Security Auditor View,Critical,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,33a84ff6-fc7a-2588-1649-5e6f6de8a049,5.0,5.0,4.0,5.0,Input Validation and Representation,Cross-Site Scripting: Reflected,"CWE ID 79,CWE ID 80","CCI-001310,CCI-002754",SI,Indirect Access to Sensitive Data,,,SI-10 Information Input Validation (P1),M7 Client Side Injection,A4 Cross Site Scripting,A1 Cross Site Scripting (XSS),A2 Cross-Site Scripting (XSS),A3 Cross-Site Scripting (XSS),A7 Cross-Site Scripting (XSS),Requirement 6.5.4,"Requirement 6.3.1.1,Requirement 6.5.1",Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Control Objective 4.2 - Critical Asset Protection,Insecure Interaction - CWE ID 079,Insecure Interaction - CWE ID 079,Insecure Interaction - CWE ID 079,"APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I",Cross-Site Scripting (WASC-08),Cross-Site Scripting
wiecreated,v1,Web Server Misconfiguration: Unprotected File,faq.html.bak,0,/faq.html.bak,High,Security Auditor View,High,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,6d5ca5f5-33a5-6bdf-b7a9-071b42cefa8d,3.0,2.0,3.0,5.0,Environment,Web Server Misconfiguration: Unprotected File,CWE ID 863,"CCI-000213,CCI-002165",AC,Access Violation,,,AC-3 Access Enforcement (P1),M5 Poor Authorization and Authentication,A2 Broken Access Control,A10 Failure to Restrict URL Access,A8 Failure to Restrict URL Access,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.2,Requirement 6.5.10,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Control Objective 5.4 - Authentication and Access Control,,Porous Defenses - CWE ID 285,Porous Defenses - CWE ID 863,,,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,,"APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II",Server Misconfiguration (WASC-14),Insufficient Authorization
wiecreated,v1,HTML5: Overly Permissive CORS Policy,feedback.html,0,/feedback.html,Low,Security Auditor View,Low,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,75f83a55-c130-c495-82ed-bd790eb12c5c,1.0,1.0,1.0,5.0,Encapsulation,HTML5: Overly Permissive CORS Policy,,"CCI-001368,CCI-001414",,Access Violation,,,AC-4 Information Flow Enforcement (P1),M5 Poor Authorization and Authentication,,,,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.10,,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Control Objective 5.4 - Authentication and Access Control,,,,,,,,,,,"APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II",Application Misconfiguration (WASC-15),
wiecreated,v1,Privacy Violation: Autocomplete,feedback.html,0,/feedback.html,Low,Security Auditor View,Low,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Best Practices,502c3e7b-e0b3-adc2-0479-656c758ef9b1,0.5,0.5,0.0,5.0,Security Features,Privacy Violation: Autocomplete,CWE ID 525,"CCI-000196,CCI-002361",,Privacy Violation,,,AC-4 Information Flow Enforcement (P1),M4 Unintended Data Leakage,,A6 Information Leakage and Improper Error Handling,,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,"Control Objective 3.3 - Sensitive Data Retention,Control Objective 6.1 - Sensitive Data Protection",,,,"APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Often Misused: Login,forgot-password.html,0,/forgot-password.html,High,Security Auditor View,High,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,6d2c8d6a-0ef4-602a-7738-3d248c0758ba,3.0,2.0,3.0,5.0,API Abuse,Often Misused: Login,CWE ID 311,,SC,Access Violation,,,SC-8 Transmission Confidentiality and Integrity (P1),M3 Insufficient Transport Layer Protection,A10 Insecure Configuration Management,A9 Insecure Communications,A9 Insufficient Transport Layer Protection,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 8.4,"Requirement 4.1,Requirement 6.3.1.4,Requirement 6.5.9,Requirement 8.4","Requirement 4.1,Requirement 6.5.4,Requirement 8.4",Requirement 6.5.4,Requirement 6.5.4,Requirement 6.5.4,Requirement 6.5.4,Control Objective 6.2 - Sensitive Data Protection,,,Porous Defenses - CWE ID 311,APP3330 CAT I,APP3330 CAT I,APP3330 CAT I,APP3330 CAT I,APP3330 CAT I,APP3330 CAT I,APP3330 CAT I,,,,,,,,,,,
